2026-07-10 09:26:31,260 | INFO | Market not suitable for trading
2026-07-10 09:26:31,261 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,261 | INFO | Market not suitable for trading
2026-07-10 09:26:31,261 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,261 | INFO | Market not suitable for trading
2026-07-10 09:26:31,262 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,262 | INFO | Market not suitable for trading
2026-07-10 09:26:31,262 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,263 | INFO | Market not suitable for trading
2026-07-10 09:26:31,263 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,263 | INFO | Market not suitable for trading
2026-07-10 09:26:31,264 | INFO | Market regime detected: NO_TRADE
2026-07-10 09:26:31,264 | INFO | Market not suitable for trading
2026-07-10 09:26:31,264 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,264 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,265 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4344.81), 'lot': np.float64(0.06), 'stop_loss': np.float64(4336.81), 'take_profit': np.float64(4360.82), 'risk_percent': 1}
2026-07-10 09:26:31,265 | INFO | ORDER OPENED {'ticket': 'JQE-000008', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4344.86), 'lot': np.float64(0.06), 'stop_loss': np.float64(4336.81), 'take_profit': np.float64(4360.82), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 265127), 'status': 'OPEN'}
2026-07-10 09:26:31,265 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,265 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,265 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4341.69), 'lot': np.float64(0.06), 'stop_loss': np.float64(4333.71), 'take_profit': np.float64(4357.65), 'risk_percent': 1}
2026-07-10 09:26:31,265 | INFO | ORDER OPENED {'ticket': 'JQE-000009', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4341.74), 'lot': np.float64(0.06), 'stop_loss': np.float64(4333.71), 'take_profit': np.float64(4357.65), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 265975), 'status': 'OPEN'}
2026-07-10 09:26:31,266 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,266 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,266 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4342.02), 'lot': np.float64(0.06), 'stop_loss': np.float64(4333.61), 'take_profit': np.float64(4358.85), 'risk_percent': 1}
2026-07-10 09:26:31,266 | INFO | ORDER OPENED {'ticket': 'JQE-000010', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4342.07), 'lot': np.float64(0.06), 'stop_loss': np.float64(4333.61), 'take_profit': np.float64(4358.85), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 266899), 'status': 'OPEN'}
2026-07-10 09:26:31,267 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,267 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,267 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4343.76), 'lot': np.float64(0.06), 'stop_loss': np.float64(4335.2), 'take_profit': np.float64(4360.88), 'risk_percent': 1}
2026-07-10 09:26:31,267 | INFO | ORDER OPENED {'ticket': 'JQE-000011', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4343.81), 'lot': np.float64(0.06), 'stop_loss': np.float64(4335.2), 'take_profit': np.float64(4360.88), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 267759), 'status': 'OPEN'}
2026-07-10 09:26:31,268 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,268 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,268 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4344.42), 'lot': np.float64(0.06), 'stop_loss': np.float64(4335.37), 'take_profit': np.float64(4362.52), 'risk_percent': 1}
2026-07-10 09:26:31,268 | INFO | ORDER OPENED {'ticket': 'JQE-000012', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4344.47), 'lot': np.float64(0.06), 'stop_loss': np.float64(4335.37), 'take_profit': np.float64(4362.52), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 268620), 'status': 'OPEN'}
2026-07-10 09:26:31,269 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,269 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,269 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4346.83), 'lot': np.float64(0.05), 'stop_loss': np.float64(4337.64), 'take_profit': np.float64(4365.21), 'risk_percent': 1}
2026-07-10 09:26:31,269 | INFO | ORDER OPENED {'ticket': 'JQE-000013', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4346.88), 'lot': np.float64(0.05), 'stop_loss': np.float64(4337.64), 'take_profit': np.float64(4365.21), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 269473), 'status': 'OPEN'}
2026-07-10 09:26:31,269 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,270 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,270 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4349.51), 'lot': np.float64(0.05), 'stop_loss': np.float64(4340.26), 'take_profit': np.float64(4368.01), 'risk_percent': 1}
2026-07-10 09:26:31,270 | INFO | ORDER OPENED {'ticket': 'JQE-000014', 'symbol': 'XAUUSD', 'direction': 'BUY', 'entry': np.float64(4349.56), 'lot': np.float64(0.05), 'stop_loss': np.float64(4340.26), 'take_profit': np.float64(4368.01), 'open_time': datetime.datetime(2026, 7, 10, 9, 26, 31, 270338), 'status': 'OPEN'}
2026-07-10 09:26:31,270 | INFO | Market regime detected: TREND_UP
2026-07-10 09:26:31,271 | INFO | Signal: BUY Confidence: 90
2026-07-10 09:26:31,271 | INFO | Trade approved: {'approved': True, 'signal': 'BUY', 'confidence': 90, 'entry': np.float64(4348.95), 'lot': np.float64(0.06), 'stop_loss': np.float64(4340.19), 'take_profit': np.float64(4366.48), 'risk_percent': 1}
