time,open,high,low,close,tick_volume,spread,real_volume
2026-07-27 16:00:00,4078.61,4084.81,4077.73,4081.41,5922,15,0
2026-07-27 16:15:00,4081.41,4088.7,4079.67,4085.08,5860,15,0
2026-07-27 16:30:00,4085.34,4093.94,4084.99,4088.34,5967,15,0
2026-07-27 16:45:00,4088.34,4088.56,4080.75,4082.34,5094,15,0
2026-07-27 17:00:00,4082.34,4082.41,4070.57,4073.53,5157,15,0
2026-07-27 17:15:00,4073.61,4076.78,4072.35,4074.7,5088,15,0
2026-07-27 17:30:00,4074.66,4075.98,4072.11,4074.5,4396,15,0
2026-07-27 17:45:00,4074.5,4077.19,4073.26,4076.36,4484,15,0
2026-07-27 18:00:00,4076.51,4079.29,4076.07,4076.71,4797,15,0
2026-07-27 18:15:00,4076.71,4076.98,4074.18,4076.84,4796,15,0
2026-07-27 18:30:00,4076.84,4079.07,4072.86,4076.37,4808,15,0
2026-07-27 18:45:00,4076.27,4079.48,4074.98,4077.89,4879,15,0
2026-07-27 19:00:00,4077.97,4081.81,4076.13,4080.27,4408,15,0
2026-07-27 19:15:00,4080.27,4088.76,4079.38,4085.79,3697,15,0
2026-07-27 19:30:00,4085.79,4087.26,4083.87,4087.0,4245,15,0
2026-07-27 19:45:00,4086.97,4089.32,4082.44,4083.4,4737,15,0
2026-07-27 20:00:00,4083.42,4084.03,4081.38,4082.11,1559,15,0
2026-07-27 20:15:00,4082.11,4082.18,4078.16,4078.54,1071,28,0
2026-07-27 20:30:00,4078.54,4079.07,4075.84,4077.11,1311,28,0
2026-07-27 20:45:00,4077.11,4077.31,4075.18,4076.61,1031,28,0
2026-07-27 22:00:00,4080.69,4081.16,4076.52,4077.3,907,28,0
2026-07-27 22:15:00,4077.3,4077.3,4070.83,4072.4,2164,28,0
2026-07-27 22:30:00,4072.41,4074.97,4072.25,4074.74,1807,28,0
2026-07-27 22:45:00,4074.74,4074.84,4073.52,4074.14,1553,28,0
2026-07-27 23:00:00,4074.13,4075.08,4071.68,4074.14,2356,15,0
2026-07-27 23:15:00,4074.14,4074.69,4071.95,4073.08,2041,15,0
2026-07-27 23:30:00,4073.08,4073.51,4071.61,4072.04,1776,15,0
2026-07-27 23:45:00,4072.03,4073.41,4069.95,4073.37,4108,15,0
2026-07-28 00:00:00,4073.37,4074.16,4062.06,4067.17,6127,15,0
2026-07-28 00:15:00,4067.0,4067.45,4059.18,4062.09,5451,15,0
2026-07-28 00:30:00,4062.14,4066.24,4060.43,4065.53,5849,15,0
2026-07-28 00:45:00,4065.53,4065.53,4057.65,4057.95,5196,15,0
2026-07-28 01:00:00,4057.95,4060.36,4053.81,4057.97,7413,15,0
2026-07-28 01:15:00,4057.97,4059.08,4046.43,4047.37,6575,15,0
2026-07-28 01:30:00,4047.37,4050.58,4043.57,4048.97,6787,15,0
2026-07-28 01:45:00,4049.04,4049.04,4042.56,4045.21,6304,15,0
2026-07-28 02:00:00,4045.21,4047.65,4042.47,4046.53,6085,15,0
2026-07-28 02:15:00,4046.52,4049.1,4045.39,4046.19,5123,15,0
2026-07-28 02:30:00,4046.18,4047.93,4041.56,4044.23,5836,15,0
2026-07-28 02:45:00,4044.22,4045.47,4040.7,4042.17,5240,15,0
2026-07-28 03:00:00,4041.98,4047.4,4040.32,4045.83,4724,15,0
2026-07-28 03:15:00,4045.83,4049.36,4045.3,4047.69,4738,15,0
2026-07-28 03:30:00,4047.69,4051.17,4047.32,4048.33,5140,15,0
2026-07-28 03:45:00,4048.38,4050.77,4047.99,4049.39,4359,15,0
2026-07-28 04:00:00,4049.29,4049.68,4043.4,4044.03,4420,15,0
2026-07-28 04:15:00,4044.03,4048.03,4043.47,4045.69,4044,15,0
2026-07-28 04:30:00,4045.69,4047.86,4043.91,4047.64,3407,15,0
2026-07-28 04:45:00,4047.64,4048.01,4041.45,4042.17,3695,15,0
2026-07-28 05:00:00,4042.01,4044.05,4039.95,4042.39,4947,15,0
2026-07-28 05:15:00,4042.37,4043.62,4040.84,4043.1,4560,15,0
2026-07-28 05:30:00,4043.1,4045.67,4034.89,4041.6,6391,15,0
2026-07-28 05:45:00,4041.62,4046.55,4039.61,4045.33,5263,15,0
2026-07-28 06:00:00,4045.33,4047.84,4042.98,4044.16,5963,15,0
2026-07-28 06:15:00,4044.21,4049.09,4043.99,4047.9,5559,15,0
2026-07-28 06:30:00,4047.89,4052.32,4046.99,4049.74,5144,15,0
2026-07-28 06:45:00,4049.76,4051.53,4047.97,4048.36,4900,15,0
2026-07-28 07:00:00,4048.24,4051.22,4047.5,4048.91,4635,15,0
2026-07-28 07:15:00,4048.81,4052.47,4048.64,4050.16,4300,15,0
2026-07-28 07:30:00,4050.22,4051.07,4048.35,4049.42,4214,15,0
2026-07-28 07:45:00,4049.4,4049.86,4046.09,4047.3,4836,15,0
2026-07-28 08:00:00,4047.27,4055.26,4043.03,4044.38,6274,15,0
2026-07-28 08:15:00,4044.28,4051.32,4044.17,4049.73,6475,15,0
2026-07-28 08:30:00,4049.67,4049.86,4041.92,4043.26,5552,15,0
2026-07-28 08:45:00,4043.23,4046.19,4041.67,4045.55,4801,15,0
2026-07-28 09:00:00,4045.49,4046.07,4040.69,4040.98,4186,15,0
2026-07-28 09:15:00,4040.97,4044.19,4039.12,4040.42,4041,15,0
2026-07-28 09:30:00,4040.42,4040.46,4029.54,4033.35,5195,15,0
2026-07-28 09:45:00,4033.28,4034.27,4019.42,4023.24,5298,15,0
2026-07-28 10:00:00,4023.14,4027.07,4020.52,4024.24,5400,15,0
